Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
423,0.626,6.14,1.25,15,Hex,Without mesh,0,PTA
425,0.629,6.17,1.26,15,Hex,Without mesh,0,PTA
426,0.631,6.19,1.26,15,Hex,Without mesh,0,PTA
428,0.634,6.21,1.27,15,Hex,Without mesh,0,PTA
430,0.636,6.23,1.27,15,Hex,Without mesh,0,PTA
431,0.639,6.25,1.28,15,Hex,Without mesh,0,PTA
433,0.642,6.28,1.28,15,Hex,Without mesh,0,PTA
434,0.644,6.3,1.29,15,Hex,Without mesh,0,PTA
436,0.647,6.33,1.29,15,Hex,Without mesh,0,PTA
437,0.649,6.34,1.3,15,Hex,Without mesh,0,PTA
439,0.652,6.37,1.3,15,Hex,Without mesh,0,PTA
440,0.654,6.39,1.31,15,Hex,Without mesh,0,PTA
442,0.657,6.41,1.31,15,Hex,Without mesh,0,PTA
443,0.659,6.43,1.32,15,Hex,Without mesh,0,PTA
445,0.662,6.46,1.32,15,Hex,Without mesh,0,PTA
446,0.664,6.47,1.33,15,Hex,Without mesh,0,PTA
448,0.667,6.5,1.33,15,Hex,Without mesh,0,PTA
449,0.669,6.52,1.34,15,Hex,Without mesh,0,PTA
451,0.672,6.54,1.34,15,Hex,Without mesh,0,PTA
453,0.674,6.57,1.35,15,Hex,Without mesh,0,PTA
454,0.677,6.58,1.35,15,Hex,Without mesh,0,PTA
455,0.679,6.6,1.36,15,Hex,Without mesh,0,PTA
457,0.682,6.63,1.36,15,Hex,Without mesh,0,PTA
458,0.684,6.65,1.37,15,Hex,Without mesh,0,PTA
459,0.687,6.67,1.37,15,Hex,Without mesh,0,PTA
461,0.689,6.69,1.38,15,Hex,Without mesh,0,PTA
462,0.692,6.71,1.38,15,Hex,Without mesh,0,PTA
464,0.695,6.74,1.39,15,Hex,Without mesh,0,PTA
465,0.697,6.75,1.39,15,Hex,Without mesh,0,PTA
467,0.7,6.78,1.4,15,Hex,Without mesh,0,PTA
468,0.702,6.8,1.4,15,Hex,Without mesh,0,PTA
470,0.704,6.82,1.41,15,Hex,Without mesh,0,PTA
471,0.707,6.83,1.41,15,Hex,Without mesh,0,PTA
473,0.709,6.87,1.42,15,Hex,Without mesh,0,PTA
474,0.712,6.88,1.42,15,Hex,Without mesh,0,PTA
476,0.715,6.91,1.43,15,Hex,Without mesh,0,PTA
477,0.717,6.92,1.43,15,Hex,Without mesh,0,PTA
479,0.72,6.95,1.44,15,Hex,Without mesh,0,PTA
480,0.722,6.96,1.44,15,Hex,Without mesh,0,PTA
482,0.725,6.99,1.45,15,Hex,Without mesh,0,PTA
483,0.727,7.01,1.45,15,Hex,Without mesh,0,PTA
484,0.729,7.03,1.46,15,Hex,Without mesh,0,PTA
486,0.732,7.05,1.46,15,Hex,Without mesh,0,PTA
487,0.735,7.07,1.47,15,Hex,Without mesh,0,PTA
489,0.737,7.09,1.47,15,Hex,Without mesh,0,PTA
490,0.74,7.11,1.48,15,Hex,Without mesh,0,PTA
491,0.742,7.13,1.48,15,Hex,Without mesh,0,PTA
493,0.745,7.15,1.49,15,Hex,Without mesh,0,PTA
494,0.747,7.18,1.49,15,Hex,Without mesh,0,PTA
495,0.75,7.19,1.5,15,Hex,Without mesh,0,PTA
497,0.752,7.21,1.5,15,Hex,Without mesh,0,PTA
498,0.755,7.23,1.51,15,Hex,Without mesh,0,PTA
500,0.757,7.25,1.51,15,Hex,Without mesh,0,PTA
501,0.76,7.27,1.52,15,Hex,Without mesh,0,PTA
503,0.762,7.3,1.52,15,Hex,Without mesh,0,PTA
504,0.765,7.32,1.53,15,Hex,Without mesh,0,PTA
505,0.767,7.33,1.53,15,Hex,Without mesh,0,PTA
507,0.77,7.36,1.54,15,Hex,Without mesh,0,PTA
508,0.772,7.38,1.54,15,Hex,Without mesh,0,PTA
510,0.775,7.4,1.55,15,Hex,Without mesh,0,PTA
511,0.777,7.42,1.55,15,Hex,Without mesh,0,PTA
512,0.78,7.44,1.56,15,Hex,Without mesh,0,PTA
514,0.782,7.46,1.56,15,Hex,Without mesh,0,PTA
515,0.785,7.48,1.57,15,Hex,Without mesh,0,PTA
517,0.788,7.5,1.58,15,Hex,Without mesh,0,PTA
518,0.79,7.52,1.58,15,Hex,Without mesh,0,PTA
520,0.792,7.54,1.58,15,Hex,Without mesh,0,PTA
521,0.795,7.56,1.59,15,Hex,Without mesh,0,PTA
522,0.797,7.58,1.59,15,Hex,Without mesh,0,PTA
524,0.8,7.6,1.6,15,Hex,Without mesh,0,PTA
525,0.802,7.62,1.6,15,Hex,Without mesh,0,PTA
526,0.805,7.64,1.61,15,Hex,Without mesh,0,PTA
528,0.807,7.66,1.61,15,Hex,Without mesh,0,PTA
529,0.81,7.68,1.62,15,Hex,Without mesh,0,PTA
531,0.812,7.7,1.62,15,Hex,Without mesh,0,PTA
532,0.815,7.72,1.63,15,Hex,Without mesh,0,PTA
533,0.817,7.74,1.63,15,Hex,Without mesh,0,PTA
535,0.82,7.76,1.64,15,Hex,Without mesh,0,PTA
536,0.823,7.78,1.65,15,Hex,Without mesh,0,PTA
538,0.825,7.8,1.65,15,Hex,Without mesh,0,PTA
539,0.828,7.83,1.66,15,Hex,Without mesh,0,PTA
541,0.83,7.85,1.66,15,Hex,Without mesh,0,PTA
542,0.833,7.86,1.67,15,Hex,Without mesh,0,PTA
543,0.835,7.89,1.67,15,Hex,Without mesh,0,PTA
545,0.838,7.91,1.68,15,Hex,Without mesh,0,PTA
546,0.84,7.92,1.68,15,Hex,Without mesh,0,PTA
547,0.843,7.94,1.69,15,Hex,Without mesh,0,PTA
549,0.845,7.96,1.69,15,Hex,Without mesh,0,PTA
550,0.848,7.98,1.7,15,Hex,Without mesh,0,PTA
551,0.85,8,1.7,15,Hex,Without mesh,0,PTA
553,0.853,8.02,1.71,15,Hex,Without mesh,0,PTA
554,0.855,8.04,1.71,15,Hex,Without mesh,0,PTA
555,0.858,8.06,1.72,15,Hex,Without mesh,0,PTA
557,0.86,8.08,1.72,15,Hex,Without mesh,0,PTA
558,0.863,8.1,1.73,15,Hex,Without mesh,0,PTA
560,0.865,8.13,1.73,15,Hex,Without mesh,0,PTA
561,0.868,8.14,1.74,15,Hex,Without mesh,0,PTA
562,0.87,8.16,1.74,15,Hex,Without mesh,0,PTA
564,0.873,8.18,1.75,15,Hex,Without mesh,0,PTA
565,0.875,8.2,1.75,15,Hex,Without mesh,0,PTA
567,0.878,8.23,1.76,15,Hex,Without mesh,0,PTA
568,0.88,8.24,1.76,15,Hex,Without mesh,0,PTA
569,0.883,8.26,1.77,15,Hex,Without mesh,0,PTA
570,0.885,8.28,1.77,15,Hex,Without mesh,0,PTA
572,0.888,8.3,1.78,15,Hex,Without mesh,0,PTA
573,0.89,8.32,1.78,15,Hex,Without mesh,0,PTA
575,0.893,8.34,1.79,15,Hex,Without mesh,0,PTA
576,0.895,8.35,1.79,15,Hex,Without mesh,0,PTA
577,0.898,8.37,1.8,15,Hex,Without mesh,0,PTA
579,0.901,8.4,1.8,15,Hex,Without mesh,0,PTA
580,0.903,8.41,1.81,15,Hex,Without mesh,0,PTA
581,0.905,8.43,1.81,15,Hex,Without mesh,0,PTA
582,0.908,8.45,1.82,15,Hex,Without mesh,0,PTA
584,0.91,8.47,1.82,15,Hex,Without mesh,0,PTA
585,0.913,8.49,1.83,15,Hex,Without mesh,0,PTA
586,0.916,8.51,1.83,15,Hex,Without mesh,0,PTA
588,0.918,8.53,1.84,15,Hex,Without mesh,0,PTA
589,0.921,8.55,1.84,15,Hex,Without mesh,0,PTA
590,0.923,8.57,1.85,15,Hex,Without mesh,0,PTA
