Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
359,0.501,5.52,1,15,3D,Without Mesh,0,PLA
361,0.503,5.55,1.01,15,3D,Without Mesh,0,PLA
362,0.505,5.57,1.01,15,3D,Without Mesh,0,PLA
363,0.508,5.59,1.02,15,3D,Without Mesh,0,PLA
365,0.51,5.61,1.02,15,3D,Without Mesh,0,PLA
366,0.512,5.63,1.02,15,3D,Without Mesh,0,PLA
367,0.514,5.65,1.03,15,3D,Without Mesh,0,PLA
369,0.516,5.67,1.03,15,3D,Without Mesh,0,PLA
370,0.518,5.69,1.04,15,3D,Without Mesh,0,PLA
371,0.521,5.71,1.04,15,3D,Without Mesh,0,PLA
373,0.523,5.73,1.05,15,3D,Without Mesh,0,PLA
374,0.525,5.75,1.05,15,3D,Without Mesh,0,PLA
375,0.527,5.77,1.05,15,3D,Without Mesh,0,PLA
376,0.529,5.79,1.06,15,3D,Without Mesh,0,PLA
378,0.532,5.81,1.06,15,3D,Without Mesh,0,PLA
379,0.534,5.83,1.07,15,3D,Without Mesh,0,PLA
380,0.536,5.85,1.07,15,3D,Without Mesh,0,PLA
381,0.538,5.87,1.08,15,3D,Without Mesh,0,PLA
383,0.54,5.89,1.08,15,3D,Without Mesh,0,PLA
384,0.542,5.91,1.08,15,3D,Without Mesh,0,PLA
385,0.544,5.93,1.09,15,3D,Without Mesh,0,PLA
387,0.547,5.95,1.09,15,3D,Without Mesh,0,PLA
388,0.549,5.97,1.1,15,3D,Without Mesh,0,PLA
389,0.551,5.98,1.1,15,3D,Without Mesh,0,PLA
390,0.553,6,1.11,15,3D,Without Mesh,0,PLA
392,0.555,6.02,1.11,15,3D,Without Mesh,0,PLA
393,0.557,6.04,1.11,15,3D,Without Mesh,0,PLA
394,0.56,6.07,1.12,15,3D,Without Mesh,0,PLA
396,0.562,6.09,1.12,15,3D,Without Mesh,0,PLA
397,0.564,6.1,1.13,15,3D,Without Mesh,0,PLA
398,0.566,6.12,1.13,15,3D,Without Mesh,0,PLA
399,0.568,6.14,1.14,15,3D,Without Mesh,0,PLA
401,0.57,6.16,1.14,15,3D,Without Mesh,0,PLA
402,0.573,6.18,1.15,15,3D,Without Mesh,0,PLA
403,0.575,6.2,1.15,15,3D,Without Mesh,0,PLA
404,0.577,6.22,1.15,15,3D,Without Mesh,0,PLA
405,0.579,6.23,1.16,15,3D,Without Mesh,0,PLA
407,0.581,6.26,1.16,15,3D,Without Mesh,0,PLA
408,0.583,6.28,1.17,15,3D,Without Mesh,0,PLA
409,0.586,6.3,1.17,15,3D,Without Mesh,0,PLA
411,0.588,6.32,1.18,15,3D,Without Mesh,0,PLA
412,0.59,6.34,1.18,15,3D,Without Mesh,0,PLA
413,0.592,6.36,1.18,15,3D,Without Mesh,0,PLA
415,0.594,6.38,1.19,15,3D,Without Mesh,0,PLA
416,0.597,6.39,1.19,15,3D,Without Mesh,0,PLA
417,0.599,6.41,1.2,15,3D,Without Mesh,0,PLA
418,0.601,6.43,1.2,15,3D,Without Mesh,0,PLA
419,0.603,6.45,1.21,15,3D,Without Mesh,0,PLA
421,0.605,6.47,1.21,15,3D,Without Mesh,0,PLA
422,0.608,6.49,1.22,15,3D,Without Mesh,0,PLA
423,0.61,6.51,1.22,15,3D,Without Mesh,0,PLA
424,0.612,6.53,1.22,15,3D,Without Mesh,0,PLA
426,0.614,6.55,1.23,15,3D,Without Mesh,0,PLA
427,0.616,6.57,1.23,15,3D,Without Mesh,0,PLA
428,0.618,6.58,1.24,15,3D,Without Mesh,0,PLA
430,0.62,6.61,1.24,15,3D,Without Mesh,0,PLA
431,0.623,6.63,1.25,15,3D,Without Mesh,0,PLA
432,0.625,6.65,1.25,15,3D,Without Mesh,0,PLA
433,0.627,6.67,1.25,15,3D,Without Mesh,0,PLA
434,0.629,6.68,1.26,15,3D,Without Mesh,0,PLA
435,0.631,6.7,1.26,15,3D,Without Mesh,0,PLA
437,0.634,6.72,1.27,15,3D,Without Mesh,0,PLA
438,0.636,6.73,1.27,15,3D,Without Mesh,0,PLA
440,0.638,6.76,1.28,15,3D,Without Mesh,0,PLA
441,0.64,6.78,1.28,15,3D,Without Mesh,0,PLA
442,0.642,6.8,1.28,15,3D,Without Mesh,0,PLA
443,0.644,6.81,1.29,15,3D,Without Mesh,0,PLA
444,0.647,6.84,1.29,15,3D,Without Mesh,0,PLA
446,0.649,6.85,1.3,15,3D,Without Mesh,0,PLA
447,0.651,6.87,1.3,15,3D,Without Mesh,0,PLA
448,0.653,6.89,1.31,15,3D,Without Mesh,0,PLA
449,0.655,6.91,1.31,15,3D,Without Mesh,0,PLA
450,0.657,6.93,1.31,15,3D,Without Mesh,0,PLA
452,0.66,6.95,1.32,15,3D,Without Mesh,0,PLA
453,0.662,6.97,1.32,15,3D,Without Mesh,0,PLA
454,0.664,6.99,1.33,15,3D,Without Mesh,0,PLA
455,0.666,7.01,1.33,15,3D,Without Mesh,0,PLA
457,0.668,7.03,1.34,15,3D,Without Mesh,0,PLA
458,0.67,7.04,1.34,15,3D,Without Mesh,0,PLA
459,0.673,7.07,1.35,15,3D,Without Mesh,0,PLA
461,0.675,7.09,1.35,15,3D,Without Mesh,0,PLA
462,0.677,7.1,1.35,15,3D,Without Mesh,0,PLA
463,0.679,7.12,1.36,15,3D,Without Mesh,0,PLA
464,0.681,7.14,1.36,15,3D,Without Mesh,0,PLA
465,0.683,7.16,1.37,15,3D,Without Mesh,0,PLA
466,0.685,7.18,1.37,15,3D,Without Mesh,0,PLA
468,0.688,7.2,1.38,15,3D,Without Mesh,0,PLA
469,0.69,7.22,1.38,15,3D,Without Mesh,0,PLA
470,0.692,7.24,1.38,15,3D,Without Mesh,0,PLA
472,0.694,7.25,1.39,15,3D,Without Mesh,0,PLA
473,0.696,7.27,1.39,15,3D,Without Mesh,0,PLA
475,0.698,7.3,1.4,15,3D,Without Mesh,0,PLA
475,0.701,7.31,1.4,15,3D,Without Mesh,0,PLA
477,0.703,7.33,1.41,15,3D,Without Mesh,0,PLA
478,0.705,7.35,1.41,15,3D,Without Mesh,0,PLA
479,0.707,7.37,1.41,15,3D,Without Mesh,0,PLA
480,0.709,7.39,1.42,15,3D,Without Mesh,0,PLA
481,0.712,7.41,1.42,15,3D,Without Mesh,0,PLA
483,0.714,7.42,1.43,15,3D,Without Mesh,0,PLA
484,0.716,7.45,1.43,15,3D,Without Mesh,0,PLA
485,0.718,7.46,1.44,15,3D,Without Mesh,0,PLA
487,0.72,7.49,1.44,15,3D,Without Mesh,0,PLA
488,0.722,7.5,1.44,15,3D,Without Mesh,0,PLA
489,0.725,7.52,1.45,15,3D,Without Mesh,0,PLA
490,0.727,7.54,1.45,15,3D,Without Mesh,0,PLA
491,0.729,7.56,1.46,15,3D,Without Mesh,0,PLA
493,0.731,7.58,1.46,15,3D,Without Mesh,0,PLA
494,0.733,7.6,1.47,15,3D,Without Mesh,0,PLA
495,0.735,7.62,1.47,15,3D,Without Mesh,0,PLA
496,0.738,7.63,1.48,15,3D,Without Mesh,0,PLA
498,0.74,7.66,1.48,15,3D,Without Mesh,0,PLA
498,0.742,7.67,1.48,15,3D,Without Mesh,0,PLA
500,0.744,7.69,1.49,15,3D,Without Mesh,0,PLA
501,0.746,7.7,1.49,15,3D,Without Mesh,0,PLA
503,0.748,7.73,1.5,15,3D,Without Mesh,0,PLA
503,0.751,7.74,1.5,15,3D,Without Mesh,0,PLA
505,0.753,7.76,1.51,15,3D,Without Mesh,0,PLA
506,0.755,7.78,1.51,15,3D,Without Mesh,0,PLA
507,0.757,7.79,1.51,15,3D,Without Mesh,0,PLA
509,0.759,7.82,1.52,15,3D,Without Mesh,0,PLA
509,0.761,7.83,1.52,15,3D,Without Mesh,0,PLA
511,0.764,7.86,1.53,15,3D,Without Mesh,0,PLA
512,0.766,7.87,1.53,15,3D,Without Mesh,0,PLA
513,0.768,7.9,1.54,15,3D,Without Mesh,0,PLA
514,0.77,7.9,1.54,15,3D,Without Mesh,0,PLA
516,0.772,7.93,1.54,15,3D,Without Mesh,0,PLA
517,0.774,7.95,1.55,15,3D,Without Mesh,0,PLA
518,0.777,7.97,1.55,15,3D,Without Mesh,0,PLA
519,0.779,7.99,1.56,15,3D,Without Mesh,0,PLA
520,0.781,8,1.56,15,3D,Without Mesh,0,PLA
522,0.783,8.03,1.57,15,3D,Without Mesh,0,PLA
523,0.785,8.04,1.57,15,3D,Without Mesh,0,PLA
524,0.787,8.06,1.57,15,3D,Without Mesh,0,PLA
525,0.79,8.07,1.58,15,3D,Without Mesh,0,PLA
526,0.792,8.1,1.58,15,3D,Without Mesh,0,PLA
528,0.794,8.12,1.59,15,3D,Without Mesh,0,PLA
529,0.796,8.14,1.59,15,3D,Without Mesh,0,PLA
530,0.798,8.15,1.6,15,3D,Without Mesh,0,PLA
531,0.8,8.17,1.6,15,3D,Without Mesh,0,PLA
533,0.803,8.19,1.61,15,3D,Without Mesh,0,PLA
533,0.805,8.2,1.61,15,3D,Without Mesh,0,PLA
535,0.807,8.23,1.61,15,3D,Without Mesh,0,PLA
535,0.809,8.23,1.62,15,3D,Without Mesh,0,PLA
